"Rank","Root Domain","Linking Root Domains","Domain Authority"
"335","theverge.com","285,565","93"
"336","amazon.es","136,418","93"
"337","thetimes.co.uk","292,924","93"
"338","britannica.com","253,821","93"
"339","about.com","681,077","93"
"340","icann.org","350,792","93"
"341","elmundo.es","189,078","93"
"342","addthis.com","713,795","93"
"343","buzzfeed.com","445,450","93"
"344","dell.com","207,174","93"
"345","tripadvisor.com","446,427","93"
"346","orkut.com.br","120,403","93"
"347","xbox.com","141,708","93"
"348","rapidshare.com","283,603","93"
"349","hm.com","153,466","93"
"350","gmail.com","178,864","93"
"351","huffpost.com","404,925","93"
"352","office.com","315,373","93"
"353","sciencedirect.com","393,473","93"
"354","spotify.com","1,027,859","93"
"355","googleblog.com","210,561","93"
"356","ietf.org","329,381","93"
"357","nhk.or.jp","196,478","93"
"358","time.com","621,011","93"
"359","cbc.ca","342,601","93"
"360","sports.yahoo.com","172,171","93"
"361","ox.ac.uk","209,915","93"
"362","wikihow.com","338,453","93"
"363","doubleclick.net","664,798","93"
"364","utexas.edu","230,507","93"
"365","stanford.edu","500,549","93"
"366","rambler.ru","238,960","93"
"367","windowsphone.com","123,717","93"
"368","wa.me","268,157","93"
"369","secureserver.net","812,034","93"
"370","zendesk.com","427,632","93"
"371","bp2.blogger.com","520,341","93"
"372","box.com","229,162","93"
"373","goo.ne.jp","297,193","93"
"374","vox.com","440,643","93"
"375","iubenda.com","171,415","93"
"376","google.co.in","244,422","93"
"377","indiatimes.com","323,648","93"
"378","ftc.gov","211,520","92"
"379","house.gov","226,557","92"
"380","seesaa.net","267,624","92"
"381","csmonitor.com","168,586","92"
"382","groups.yahoo.com","309,275","92"
"383","oreilly.com","211,080","92"
"384","discord.gg","145,338","92"
"385","airbnb.com","161,316","92"
"386","prestashop.com","157,197","92"
"387","greenpeace.org","146,944","92"
"388","photos1.blogger.com","816,650","92"
"389","fortune.com","212,176","92"
"390","www.canalblog.com","387,217","92"
"391","dictionary.com","235,215","92"
"392","billboard.com","160,460","92"
"393","state.gov","256,799","92"
"394","spiegel.de","260,037","92"
"395","epa.gov","272,508","92"
"396","people.com","191,681","92"
"397","sina.com.cn","1,115,616","92"
"398","ndtv.com","146,585","92"
"399","dribbble.com","379,363","92"
"400","stores.jp","402,283","92"
"401","excite.co.jp","484,441","92"
"402","repubblica.it","165,975","92"
"403","asahi.com","157,610","92"
"404","businesswire.com","222,033","92"
"405","autodesk.com","123,221","92"
"406","orange.fr","165,855","92"
"407","wiley.com","416,111","92"
"408","stuff.co.nz","134,502","92"
"409","biblegateway.com","203,114","92"
"410","nifty.com","216,339","92"
"411","xfinity.com","124,402","92"
"412","standard.co.uk","139,968","92"
"413","dan.com","1,141,142","92"
"414","behance.net","647,968","92"
"415","nbcnews.com","292,950","92"
"416","marketwatch.com","263,630","92"
"417","wiktionary.org","237,683","92"
"418","imgur.com","1,124,281","92"
"419","geocities.jp","249,342","92"
"420","ieee.org","181,148","92"
"421","apachefriends.org","211,945","92"
"422","yale.edu","276,211","92"
"423","twimg.com","321,555","92"
"424","offset.com","677,648","92"
"425","one.com","374,030","92"
"426","variety.com","193,889","92"
"427","ameblo.jp","710,533","92"
"428","youku.com","446,770","92"
"429","psu.edu","267,654","92"
"430","fedoraproject.org","209,140","92"
"431","scientificamerican.com","241,101","92"
"432","clickbank.net","463,923","92"
"433","timeout.com","125,094","92"
"434","vchecks.me","176,363","92"
"435","e-monsite.com","138,784","92"
"436","ustream.tv","253,191","92"
"437","sakura.ne.jp","356,680","92"
"438","adweek.com","160,735","92"
"439","megaupload.com","246,316","92"
"440","www.livejournal.com","2,432,577","92"
"441","youradchoices.ca","120,305","92"
"442","ebay.co.uk","208,047","92"
"443","corriere.it","136,406","92"
"444","iso.org","157,394","92"
"445","noaa.gov","278,376","92"
"446","steamcommunity.com","175,925","92"
"447","howstuffworks.com","256,083","92"
"448","gesetze-im-internet.de","131,448","92"
"449","viagens.com.br","125,703","92"
"450","newyorker.com","312,529","92"
"451","symantec.com","164,051","92"
"452","softonic.com","128,105","92"
"453","thenextweb.com","165,355","92"
"454","vkontakte.ru","387,076","92"
"455","about.me","273,951","92"
"456","upenn.edu","259,490","92"
"457","politico.com","195,755","92"
"458","interia.pl","152,325","92"
"459","pixnet.net","150,696","92"
"460","oup.com","292,869","92"
"461","example.com","276,348","92"
"462","ap.org","178,400","92"
"463","flickr.com","8,545,061","92"
"464","usgs.gov","193,415","92"
"465","kompas.com","123,542","92"
"466","livescience.com","208,280","92"
"467","amazon.in","127,484","92"
"468","pcmag.com","182,533","92"
"469","amazon.ca","173,258","92"
"470","tmz.com","175,101","92"
"471","redhat.com","172,358","92"
"472","intel.com","224,141","92"
"473","jstor.org","146,031","92"
"474","evernote.com","255,706","92"
"475","coursera.org","120,605","92"
"476","mozilla.com","197,036","92"
"477","wattpad.com","184,495","92"
"478","cmu.edu","199,105","92"
"479","fifa.com","141,663","92"
"480","thedailybeast.com","200,776","92"
"481","axs.com","226,700","92"
"482","dreamstime.com","126,127","92"
"483","kinja.com","189,503","92"
"484","amzn.to","666,410","92"
"485","cbslocal.com","266,638","92"
"486","fool.com","125,718","92"
"487","springer.com","328,339","92"
"488","alexa.com","279,744","92"
"489","nikkei.com","164,105","92"
"490","last.fm","339,967","92"
"491","researchgate.net","290,388","92"
"492","skype.com","335,389","92"
"493","merriam-webster.com","227,356","92"
"494","aljazeera.com","195,868","92"
"495","prnewswire.com","294,470","92"
"496","postimg.org","120,625","92"
"497","storify.com","243,725","92"
"498","xing.com","398,403","92"
"499","espn.go.com","228,894","92"
"500","liveinternet.ru","265,616","92"
