Domain,Number of DNS requests,Missed DNS requests missed,Number of Packets,Number of Bytes,Estimated Packets,Estimated Bytes
cpc84569-newc17-2-0-cust120.16-2.cable.virginm.net,6,0,0,0,0.0,0.0
ss-prod-ue1-notif-47.aws.adobess.com,23,0,0,0,0.0,0.0
msn-com.olc.protection.outlook.com,11,0,27,1806,27.0,1806.0
us-ne-courier-4.push-apple.com.akadns.net,72,0,21,1406,21.0,1406.0
o5.sg.e.zulily.com,13,0,48,3168,48.0,3168.0
pulsepoint-match.dotomi.com,8,0,0,0,0.0,0.0
geoycpi-uno.gycpi.b.yahoodns.net,11,0,0,0,0.0,0.0
antenna-frontend-production-0c5eecf3a95ed762.elb.us-east-1.amazonaws.com,1,0,0,0,0.0,0.0
play.itunes.apple.com.edgesuite.net,140,0,141,9350,141.0,9350.0
r2---sn-ab5szn7l.googlevideo.com,8,0,0,0,0.0,0.0
r2---sn-ab5l6nzs.googlevideo.com,4,0,0,0,0.0,0.0
0.bose.pool.ntp.org,29,0,0,0,0.0,0.0
endpoint-ingress.razor-service.razor-prod-1.us-east-1.r7ops.com,33,0,130128,7104636,130128.0,7104636.0
elb-optchk-asg-euw1-1156411587.eu-west-1.elb.amazonaws.com,1,0,0,0,0.0,0.0
static-spartan-eus-s-msn-com.akamaized.net,132,0,172,9324,172.0,9324.0
prod.pinterest.global.map.fastly.net,58,0,0,0,0.0,0.0
073fdee7cb014d9d91c8e3ab4e146d5d.js.ubembed.com,6,0,0,0,0.0,0.0
z.shared.global.fastly.net,3,0,0,0,0.0,0.0
11.tlu.dl.delivery.mp.microsoft.com,47,0,2272,122748,2272.0,122748.0
r2---sn-ab5szne7.gvt1.com,22,0,25,1410,25.0,1410.0
194.pool85-49-192.dynamic.orange.es,4,0,0,0,0.0,0.0
adfffd9c881524b86726f94f15c6a723.fp.measure.office.com,1,0,0,0,0.0,0.0
skypedataprdcolase00.cloudapp.net,87,0,0,0,0.0,0.0
mobile.events.data.trafficmanager.net,189,0,113,7542,113.0,7542.0
sfnam.loki.delve.office.com,221,0,391,21426,391.0,21426.0
prod-dem-collector-elb-611025824.eu-west-1.elb.amazonaws.com,6,0,0,0,0.0,0.0
cp801.prod.do.dsp.mp.microsoft.com,78,0,29,1590,29.0,1590.0
mail2663.e.cleanchoiceenergy.com,1,0,0,0,0.0,0.0
ss-prod-ue1-notif-23.aws.adobess.com,68,0,0,0,0.0,0.0
sync-591-us-west-2.sync.services.mozilla.com,4,0,0,0,0.0,0.0
api.apple-cloudkit.fe.apple-dns.net,192,0,0,0,0.0,0.0
d.sni.global.fastly.net,20,0,0,0,0.0,0.0
qw02036.businesswatchnetwork.com,3,0,0,0,0.0,0.0
p20-buy.itunes-apple.com.akadns.net,2,0,62,3396,62.0,3396.0
bounce.e.cleanchoiceenergy.com,10,0,0,0,0.0,0.0
upload.fp.measure.office.com,231,0,393,21858,393.0,21858.0
video-edge-940e8b.pdx01.abs.hls.ttvnw.net,20,0,314,17100,314.0,17100.0
nado-ecs-lb-us-east-1-1502216065.us-east-1.elb.amazonaws.com,6,0,0,0,0.0,0.0
widget-modal-popup-v2-prod.firebaseapp.com,4,0,0,0,0.0,0.0
jadserve.postrelease.com.akadns.net,5,0,0,0,0.0,0.0
fp4.ads.stickyadstv.com.akadns.net,3,0,0,0,0.0,0.0
prod.ups-us-east-1.aolp-ds-prd.aws.oath.cloud,39,0,0,0,0.0,0.0
testfamilysafety.bing.com,1,0,29,1590,29.0,1590.0
11.99.133.45.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,190,0,0,0,0.0,0.0
tls13.taboola.map.fastly.net,61,0,25,1666,25.0,1666.0
client-office365-tas.msedge.net,196,0,39,2142,39.0,2142.0
171.50.85.208.list.dnswl.org,1,0,0,0,0.0,0.0
vast-production-nyc1.zentrick.com,4,0,0,0,0.0,0.0
mta.harryanddavid-email.com,2,0,0,0,0.0,0.0
ubp-common-us-prod.s3.amazonaws.com,71,0,65,3558,65.0,3558.0
journals.sagepub.com.cdn.cloudflare.net,4,0,0,0,0.0,0.0
ss-prod-ue1-notif-46.aws.adobess.com,45,0,20,1344,20.0,1344.0
24-southcentralus1.pushp.svc.ms,20,0,0,0,0.0,0.0
ss-prod-ue1-notif-1.aws.adobess.com,81,0,0,0,0.0,0.0
media-shield.jwplayer.map.fastly.net,6,0,0,0,0.0,0.0
xp.itunes-apple.com.akadns.net,180,0,565,37946,565.0,37946.0
cicognara-staging1.princeton.edu,21,0,0,0,0.0,0.0
lib-orange-prod6.princeton.edu,21,0,0,0,0.0,0.0
collectionspace-staging1.princeton.edu,21,0,0,0,0.0,0.0
lib-orange-prod2.princeton.edu,22,0,0,0,0.0,0.0
lib-orange-prod4.princeton.edu,23,0,0,0,0.0,0.0
lib-solr-staging3.princeton.edu,21,0,0,0,0.0,0.0
catalog-staging1.princeton.edu,19,0,0,0,0.0,0.0
tpc.googlesyndication.com,455,0,11606,707096,11606.0,707096.0
68.106.114.103.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,107,0,0,0,0.0,0.0
ax.init.itunes.apple.com,62,0,0,0,0.0,0.0
ris.api.iris.microsoft.com,70,0,61,3366,61.0,3366.0
bounce.s10.mc.pd25.com,26,0,0,0,0.0,0.0
bandaid-redirector.l.google.com,7,0,0,0,0.0,0.0
match-975362022.us-east-1.elb.amazonaws.com,98,0,109,7134,109.0,7134.0
client-s.gateway.messenger.live.com,43,0,144,8076,144.0,8076.0
view.harryanddavid-email.com,2,0,0,0,0.0,0.0
g.api.mega.co.nz,34,0,0,0,0.0,0.0
2.184.147.136.list.dnswl.org,2,0,0,0,0.0,0.0
init-p01md-lb.push-apple.com.akadns.net,38,0,8,536,8.0,536.0
click.harryanddavid-email.com,3,0,0,0,0.0,0.0
image.harryanddavid-email.com,4,0,0,0,0.0,0.0
51.11.217.18.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,131,0,0,0,0.0,0.0
srv-2020-04-07-19.config.parsely.com,35,0,48,2756,48.0,2756.0
r1---sn-ab5sznle.c.2mdn.net,2,0,0,0,0.0,0.0
r1.sn-ab5sznle.c.2mdn.net,1,0,0,0,0.0,0.0
waws-prod-dm1-155.cloudapp.net,9,0,0,0,0.0,0.0
origin.guzzoni-apple.com.akadns.net,65,0,1291,85166,1291.0,85166.0
apidata.googleusercontent.com,175,0,671,43306,671.0,43306.0
onedriveclucprodbn20019.blob.core.windows.net,6,0,28,1536,28.0,1536.0
onedriveclucproddm20005.blob.core.windows.net,1,0,0,0,0.0,0.0
onedriveclucproddm20030.blob.core.windows.net,5,0,13,866,13.0,866.0
us-west-2.event.prod.bidr.io,2,0,11,606,11.0,606.0
azwcus1-client-s.msnmessenger.msn.com.akadns.net,35,0,0,0,0.0,0.0
2.datadog.pool.ntp.org,156,0,0,0,0.0,0.0
azwus2-client-s.msnmessenger.msn.com.akadns.net,4,0,247,13446,247.0,13446.0
salemwebnetworks-d.openx.net,4,0,0,0,0.0,0.0
lib-svn-staging1.princeton.edu,23,0,0,0,0.0,0.0
recap-www-staging1.princeton.edu,24,0,0,0,0.0,0.0
locator-staging1.princeton.edu,20,0,0,0,0.0,0.0
library-solr-staging1.princeton.edu,19,0,0,0,0.0,0.0
library-staging2.princeton.edu,23,0,0,0,0.0,0.0
perf-optimized-by.rubiconproject.net.akadns.net,16,0,0,0,0.0,0.0
array806.prod.do.dsp.mp.microsoft.com,8,0,18,996,18.0,996.0
ss-prod-ue1-notif-9.aws.adobess.com,23,0,251,16370,251.0,16370.0
lic-iris-content-prod.mwbsys.com,20,0,0,0,0.0,0.0
ocsp.godaddy.com.akadns.net,65,0,21,1342,21.0,1342.0
0.datadog.pool.ntp.org,145,0,0,0,0.0,0.0
1.datadog.pool.ntp.org,146,0,0,0,0.0,0.0
us-v20.events.data.microsoft.com,32,0,0,0,0.0,0.0
mail-oln040092073090.outbound.protection.outlook.com,1,0,0,0,0.0,0.0
rs2pbqyxijlauxumz3cq-f-602694860-clientnsv4-s.akamaihd.net,1,0,0,0,0.0,0.0
3.datadog.pool.ntp.org,147,0,0,0,0.0,0.0
events-collector.spot.im,4,0,0,0,0.0,0.0
ld-4.itunes-apple.com.akadns.net,4,0,0,0,0.0,0.0
beeswaxdisplay108801632049.s.moatpixel.com,11,0,74,4212,74.0,4212.0
clips-media-assets2.twitch.tv,3,0,162,9108,162.0,9108.0
pipeline-incoming-prod-elb-149169523.us-west-2.elb.amazonaws.com,191,0,0,0,0.0,0.0
nexus-websocket-a.intercom.io,190,0,95,6338,95.0,6338.0
e2.shared.global.fastly.net,24,0,0,0,0.0,0.0
thetradedeskv275874568748.s.moatpixel.com,7,0,71,4062,71.0,4062.0
client-event-reporter.twitch.tv,26,0,159,8906,159.0,8906.0
dl.dropboxusercontent.com,9,0,0,0,0.0,0.0
external-content.duckduckgo.com,36,0,194,12260,194.0,12260.0
dragons.hac.lp1.dragons.nintendo.net,3,0,56,3736,56.0,3736.0
r5---sn-ab5sznld.googlevideo.com,5,0,1053,44226,1053.0,44226.0
r1---sn-ab5l6n6s.googlevideo.com,2,0,460,19320,460.0,19320.0
ss-prod-ue1-notif-33.aws.adobess.com,79,0,0,0,0.0,0.0
content-autofill.googleapis.com,375,0,468,21744,468.0,21744.0
alb01-swappy-production-272196969.us-east-1.elb.amazonaws.com,2,0,0,0,0.0,0.0
hdredirect-lb5-1afb6e2973825a56.elb.us-east-1.amazonaws.com,29,0,0,0,0.0,0.0
2.tlu.dl.delivery.mp.microsoft.com,116,0,0,0,0.0,0.0
gum.va1.vip.prod.criteo.com,18,0,24,1576,24.0,1576.0
r1---sn-ab5szn7e.googlevideo.com,1,0,10,420,10.0,420.0
p23-keyvalueservice.icloud.com,4,0,4,296,4.0,296.0
augloop-prod-001-2.centralus.cloudapp.azure.com,12,0,0,0,0.0,0.0
pixel-use101-pixelserver-http.pixel.quantserve.net,26,0,0,0,0.0,0.0
y9bj1qk657.execute-api.us-east-1.amazonaws.com,5,0,118,6528,118.0,6528.0
vpn10-client-128-112-69-108.princeton.edu,20,0,0,0,0.0,0.0
mobilenetworkscoring-pa.googleapis.com,11,0,83,5510,83.0,5510.0
raw.githubusercontent.com,19,0,43,2854,43.0,2854.0
dev.visualwebsiteoptimizer.com,14,0,0,0,0.0,0.0
ssl.google-analytics.com,181,0,188,12120,188.0,12120.0
pagead2.googlesyndication.com,401,0,5108,312804,5108.0,312804.0
pq-static-content.proquest.com,4,0,0,0,0.0,0.0
content-signature-2.cdn.mozilla.net,135,0,45,2466,45.0,2466.0
mta-dock-front-338.bluestatedigital.com,4,0,0,0,0.0,0.0
livepixel-production.bln.liveintent.com,8,0,0,0,0.0,0.0
insight-760077375.us-east-1.elb.amazonaws.com,29,0,0,0,0.0,0.0
www.pinterest.com.gslb.pinterest.com,12,0,0,0,0.0,0.0
f3.shared.global.fastly.net,13,0,0,0,0.0,0.0
writersproductionelb-833542784.us-east-1.elb.amazonaws.com,15,0,0,0,0.0,0.0
r1---sn-ab5sznlk.googlevideo.com,3,0,0,0,0.0,0.0
mta-dock-front-29.bluestatedigital.com,8,0,0,0,0.0,0.0
r3---sn-hpa7zn76.googlevideo.com,3,0,0,0,0.0,0.0
gs-loc-new.ls-apple.com.akadns.net,345,0,946,52452,946.0,52452.0
video-weaver.yto01.hls.ttvnw.net,3,0,4125,222774,4125.0,222774.0
pixel.rubiconproject.net.akadns.net,17,0,57,3094,57.0,3094.0
40.45.40.77.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,173,0,0,0,0.0,0.0
mail-eopbgr30071.outbound.protection.outlook.com,2,0,0,0,0.0,0.0
o2.mailer.survey.affirm.com,4,0,0,0,0.0,0.0
p49-buy.itunes-apple.com.akadns.net,4,0,76,4224,76.0,4224.0
r2---sn-ab5l6ndr.c.2mdn.net,2,0,0,0,0.0,0.0
bounce.telefloratransact2.mkt4167.com,2,0,0,0,0.0,0.0
mail-oln040092003063.outbound.protection.outlook.com,2,0,0,0,0.0,0.0
r1---sn-ab5szn7l.c.2mdn.net,2,0,0,0,0.0,0.0
dfapvmql-q.global.ssl.fastly.net,6,0,0,0,0.0,0.0
mta-dock-front-30.bluestatedigital.com,17,0,98,6476,98.0,6476.0
mta-dock-front-126.bluestatedigital.com,21,0,81,5354,81.0,5354.0
gsp-ssl.ls-apple.com.akadns.net,117,0,130,7056,130.0,7056.0
p1-068157.loyalty.ms.aa.com,6,0,0,0,0.0,0.0
epdg.epc.mnc260.mcc310.pub.3gppnetwork.org,28,0,147,6174,147.0,6174.0
hexagon-analytics.com,15,0,0,0,0.0,0.0
princetontableau.slack.com,1,0,0,0,0.0,0.0
o592.em.em.coolibar.com,4,0,0,0,0.0,0.0
