Client IP,Server IP,Client Port,Initial Timestamp,Sequence Diff,Possible Domains
10.9.95.159,13.225.65.117,54483,1598620900.695876,62801,ib.3lift.com/
10.9.95.159,34.193.239.130,54484,1598620900.800085,8328,tlx.3lift.com/
10.9.95.159,52.2.42.227,54485,1598620900.866539,6273,dtvc.adsafeprotected.com/
10.9.95.159,3.210.231.21,54486,1598620901.033723,11138,eb2.3lift.com/
10.9.95.159,70.42.32.95,54488,1598620901.053626,3791,stas.outbrain.com/b1t-nydc1.zemanta.com/b1sync.zemanta.com/sync.outbrain.com/
10.9.95.159,70.42.32.95,54487,1598620901.054649,4416,stas.outbrain.com/b1t-nydc1.zemanta.com/b1sync.zemanta.com/sync.outbrain.com/
10.9.95.159,70.42.32.95,54493,1598620901.118481,6024,stas.outbrain.com/b1t-nydc1.zemanta.com/b1sync.zemanta.com/sync.outbrain.com/
10.9.95.159,70.42.32.95,54501,1598620901.204324,4862,stas.outbrain.com/b1t-nydc1.zemanta.com/b1sync.zemanta.com/sync.outbrain.com/
10.9.95.159,18.214.251.189,54489,1598620901.079046,5735,obs.cheqzone.com/
10.9.95.159,184.72.142.40,54490,1598620901.119667,5289,match.adsrvr.org/
10.9.95.159,54.239.17.112,54491,1598620901.122015,6723,s.amazon-adsystem.com/
10.9.95.159,13.107.21.200,54492,1598620901.122017,8346,c.bing.com/
10.9.95.159,74.6.138.75,54494,1598620901.128982,5195,pr-bh.ybp.yahoo.com/
10.9.95.159,35.207.24.140,54495,1598620901.13537,6750,rtb.mfadsrvr.com/
10.9.95.159,68.67.160.78,54496,1598620901.124486,5149,ib.adnxs.com/
10.9.95.159,13.225.65.66,54497,1598620901.13685,121865,img.3lift.com/
10.9.95.159,13.225.65.66,54498,1598620901.145159,5907,img.3lift.com/
10.9.95.159,104.100.19.41,54499,1598620901.165604,3695,stags.bluekai.com/
10.9.95.159,151.139.128.14,54500,1598620901.204322,918,ocsp.sectigo.com/
10.9.95.159,172.217.10.142,54502,1598620915.99426,5032,clients4.google.com/
10.9.95.159,172.217.12.195,54503,1598620916.75788,5596,www.gstatic.com/
10.9.95.159,172.217.165.131,54422,1598620916.826439,2330,update.googleapis.com/
10.9.95.159,172.217.9.240,54504,1598620916.868273,8245,storage.googleapis.com/
10.9.95.159,172.217.9.240,54507,1598620917.636961,8930,storage.googleapis.com/
10.9.95.159,172.217.6.206,54505,1598620917.209416,1,redirector.gvt1.com/
10.9.95.159,74.125.0.56,54506,1598620917.241546,15115,r2---sn-ab5l6nzr.gvt1.com/
10.9.95.159,172.217.12.131,54508,1598620921.921632,4392,beacons.gcp.gvt2.com/
10.9.95.159,17.253.97.201,54509,1598620922.638311,8179,valid.origin-apple.com.akadns.net/
