Client IP,Server IP,Client Port,Initial Timestamp,Sequence Diff,Possible Domains
10.9.95.159,184.26.46.222,61740,1599316889.437297,4918,e3891.dscf.akamaiedge.net/nav.files.bbci.co.uk/static.bbc.co.uk/static.bbci.co.uk/mybbc.files.bbci.co.uk/idcta.api.bbc.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/
10.9.95.159,184.26.46.222,61741,1599316889.439171,4918,e3891.dscf.akamaiedge.net/nav.files.bbci.co.uk/static.bbc.co.uk/static.bbci.co.uk/mybbc.files.bbci.co.uk/idcta.api.bbc.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/
10.9.95.159,184.26.46.222,61759,1599316891.023441,9574,e3891.dscf.akamaiedge.net/nav.files.bbci.co.uk/static.bbc.co.uk/static.bbci.co.uk/mybbc.files.bbci.co.uk/idcta.api.bbc.co.uk/polling.bbc.co.uk/emp.bbci.co.uk/emp.bbc.com/
10.9.95.159,172.217.165.138,61742,1599316889.63298,9367,signaler-pa.clients6.google.com/
10.9.95.159,13.225.230.37,61744,1599316889.690178,20529,tags.crwdcntrl.net/
10.9.95.159,52.2.9.8,61745,1599316889.695646,6069,ad.crwdcntrl.net/
10.9.95.159,34.224.244.112,61748,1599316890.217061,7281,bcp.crwdcntrl.net/privacy.crwdcntrl.net/
10.9.95.159,52.203.56.93,61749,1599316890.240482,6344,privacy.crwdcntrl.net/
10.9.95.159,70.42.32.63,61750,1599316890.552516,4245,stas.outbrain.com/b1t-nydc1.zemanta.com/b1sync.zemanta.com/
10.9.95.159,70.42.32.63,61751,1599316890.556449,3469,stas.outbrain.com/b1t-nydc1.zemanta.com/b1sync.zemanta.com/
10.9.95.159,70.42.32.63,61755,1599316890.640357,4281,stas.outbrain.com/b1t-nydc1.zemanta.com/b1sync.zemanta.com/
10.9.95.159,70.42.32.63,61761,1599316898.703942,3456,stas.outbrain.com/b1t-nydc1.zemanta.com/b1sync.zemanta.com/
10.9.95.159,52.85.144.112,61752,1599316890.573266,40463,img.3lift.com/
10.9.95.159,23.52.163.40,61753,1599316890.585323,108858,z.moatads.com/px.moatads.com/
10.9.95.159,18.214.242.166,61754,1599316890.615119,4441,slack.com/
10.9.95.159,172.217.11.10,61756,1599316890.661858,4814,fonts.googleapis.com/
10.9.95.159,172.217.11.10,61443,1599316892.18624,738,fonts.googleapis.com/
10.9.95.159,3.129.166.67,61757,1599316890.747493,4316,geo.moatads.com/
10.9.95.159,172.217.7.3,61758,1599316890.84372,37971,fonts.gstatic.com/
10.9.95.159,172.217.12.202,61760,1599316891.112541,308241,imasdk.googleapis.com/
10.9.95.159,173.194.68.189,61762,1599316913.268144,10404,13.client-channel.google.com/
