Domain,Number of DNS requests,Missed DNS requests missed,Number of Packets,Number of Bytes,Estimated Packets,Estimated Bytes
mx02.oxsus-vadesecure.net,139,0,1426,113172,1426.0,113172.0
endpoint-ingress.razor-service.razor-prod-1.us-east-1.r7ops.com,215,0,1269399,190909286,1269399.0,190909286.0
api.flightproxy.teams.microsoft.com,30,0,144,27138,144.0,27138.0
trouter2-azsc-ussc-0-b.trouter.teams.microsoft.com,11,0,85,10312,85.0,10312.0
virginia.secondstreetmedia.com,4,0,29,2510,29.0,2510.0
e.whatgoesaroundnyc.com,4,0,0,0,0.0,0.0
us-v20.events.data.microsoft.com,90,0,1100,128223,1100.0,128223.0
ocsp-lb.apple.com.akadns.net,148,0,196211,18079056,196211.0,18079056.0
mx01.oxsus-vadesecure.net,115,0,1450,113310,1450.0,113310.0
edge-124.usnyc.ce.apple-dns.net,128,0,89,7420,89.0,7420.0
allsourceanalysis.com,2,0,0,0,0.0,0.0
mobile.pipe.aria.microsoft.com,176,0,5047,779329,5047.0,779329.0
231.244.111.182.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,1643,0,0,0,0.0,0.0
mail-co1nam11lp2168.outbound.protection.outlook.com,3,0,0,0,0.0,0.0
ny7p01lppmta2601.email.ncl.com,3,0,0,0,0.0,0.0
storecatalogrevocation.storequality.microsoft.com,5,0,44,10268,44.0,10268.0
prod1.naturallanguageeditorservice.osi.office.net.akadns.net,26,0,514,42925,514.0,42925.0
onlinepublichealth.tufts.edu,1,0,0,0,0.0,0.0
skinnymechocolate.com,2,0,0,0,0.0,0.0
evoke-windowsservices-tas.msedge.net,12,0,183,33199,183.0,33199.0
sonic326-20.consmr.mail.ne1.yahoo.com,6,0,0,0,0.0,0.0
mx106.a.outbound.createsend.com,19,0,98,8742,98.0,8742.0
253.72.138.45.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,1554,0,0,0,0.0,0.0
trouter2-azsc-ussc-0-b.cloudapp.net,3,0,49,8392,49.0,8392.0
211.2.40.77.4vw5piqz5ksoolyszwje5tobsi.sbl-xbl.dq.spamhaus.net,484,0,0,0,0.0,0.0
