Domain,Number of DNS requests,Missed DNS requests missed,Number of Packets,Number of Bytes,Estimated Packets,Estimated Bytes
MAIL.MED.UPENN.EDU,9,0,0,0,0.0,0.0
STAFFMAIL.ED.AC.UK,6,0,0,0,0.0,0.0
MATH.DUKE.EDU,8,0,0,0,0.0,0.0
DU.EDU,15,0,0,0,0.0,0.0
GATSBY.UCL.AC.UK,7,0,0,0,0.0,0.0
MSSM.EDU,14,0,0,0,0.0,0.0
MAIL.HUJI.AC.IL,8,0,0,0,0.0,0.0
UNIV.HAIFA.AC.IL,8,0,0,0,0.0,0.0
WAYNE.EDU,8,0,0,0,0.0,0.0
UTDALLAS.EDU,21,0,0,0,0.0,0.0
NEOMED.EDU,8,0,0,0,0.0,0.0
VILLANOVA.EDU,16,0,0,0,0.0,0.0
HHU.DE,7,0,0,0,0.0,0.0
PHY.UCSF.EDU,6,0,0,0,0.0,0.0
TCD.IE,7,0,0,0,0.0,0.0
USC.EDU,7,0,0,0,0.0,0.0
BU.EDU,18,0,0,0,0.0,0.0
PKU.EDU.CN,6,0,0,0,0.0,0.0
AUSTIN.UTEXAS.EDU,22,0,0,0,0.0,0.0
UCR.EDU,14,0,0,0,0.0,0.0
ION.AC.CN,6,0,0,0,0.0,0.0
COLORADO.EDU,12,0,0,0,0.0,0.0
UNI-DUESSELDORF.DE,8,0,0,0,0.0,0.0
PSYCH.MCGILL.CA,7,0,0,0,0.0,0.0
Cell.Com,2,0,0,0,0.0,0.0
HA-PA.COM,2,0,0,0,0.0,0.0
nismaster.Princeton.EDU,2,0,0,0,0.0,0.0
nisslave11.Princeton.EDU,2,0,0,0,0.0,0.0
nisslave12.Princeton.EDU,1,0,0,0,0.0,0.0
LISTS.UPENN.EDU,9,0,0,0,0.0,0.0
MIAMIOH.EDU,14,0,0,0,0.0,0.0
x210-scan.Princeton.EDU,2,0,0,0,0.0,0.0
UCOL19PA35.eemsg.mail.mil,1,0,0,0,0.0,0.0
WGPON-36230-230.wateen.net,1,0,0,0,0.0,0.0
TRE-28074H2.princeton.edu,1,0,0,0,0.0,0.0
TimvanB.com,4,0,0,0,0.0,0.0
a.wtLsy.com,2,0,0,0,0.0,0.0
FCT.groups.io,12,0,0,0,0.0,0.0
MoTH.groups.io,5,0,0,0,0.0,0.0
oaamx202l.Princeton.EDU,20,0,0,0,0.0,0.0
autom100l.Princeton.EDU,4,0,0,0,0.0,0.0
ME.COM,16,0,0,0,0.0,0.0
ICLOUD.COM,14,0,0,0,0.0,0.0
DELBARTON.ORG,1,0,0,0,0.0,0.0
EXAMSOFT.COM,2,0,0,0,0.0,0.0
DMS-TDOMMER19.princeton.edu,1,0,0,0,0.0,0.0
BCMLS2.glpals.com,4,0,13,960,13.0,960.0
tsm11.Princeton.EDU,2,0,0,0,0.0,0.0
OTL-7QLWDW2.princeton.edu,1,0,0,0,0.0,0.0
DEV-390R90VCYKS.princeton.edu,1,0,0,0,0.0,0.0
TRE-HYN83G2.princeton.edu,1,0,0,0,0.0,0.0
LSAC.org,30,0,0,0,0.0,0.0
LIST.UVM.EDU,50,0,0,0,0.0,0.0
UVM.EDU,8,0,0,0,0.0,0.0
MOL-H5GTJR2.princeton.edu,1,0,0,0,0.0,0.0
InsideApple.Apple.com,2,0,0,0,0.0,0.0
AJRSEM.Org,6,0,0,0,0.0,0.0
BoerumHill.groups.io,5,0,0,0,0.0,0.0
ntp1.Princeton.EDU,2,0,0,0,0.0,0.0
ntp2.Princeton.EDU,2,0,0,0,0.0,0.0
ntp3.Princeton.EDU,2,0,0,0,0.0,0.0
ntp4.Princeton.EDU,2,0,0,0,0.0,0.0
iHire.com,2,0,0,0,0.0,0.0
CORNELL.EDU,18,0,0,0,0.0,0.0
ASTRO.PUC.CL,4,0,0,0,0.0,0.0
PHYSICS.UBC.CA,2,0,0,0,0.0,0.0
PHYSICS.RUTGERS.EDU,8,0,0,0,0.0,0.0
ASTRO.UTORONTO.CA,2,0,0,0,0.0,0.0
ESO.ORG,2,0,0,0,0.0,0.0
LBL.GOV,2,0,0,0,0.0,0.0
ASTRO.CORNELL.EDU,4,0,0,0,0.0,0.0
FSU.EDU,13,0,0,0,0.0,0.0
IAS.EDU,18,0,0,0,0.0,0.0
UKZN.AC.ZA,2,0,0,0,0.0,0.0
CITA.UTORONTO.CA,2,0,0,0,0.0,0.0
ADH-SJ.INFO,2,0,0,0,0.0,0.0
CALTECH.EDU,2,0,0,0,0.0,0.0
ASTRO.UIO.NO,4,0,0,0,0.0,0.0
PHYSICS.OX.AC.UK,4,0,0,0,0.0,0.0
JPL.NASA.GOV,2,0,0,0,0.0,0.0
ASU.EDU,12,0,0,0,0.0,0.0
AIUC.PUC.CL,2,0,0,0,0.0,0.0
PHAS.UBC.CA,2,0,0,0,0.0,0.0
DAS.UCHILE.CL,2,0,0,0,0.0,0.0
MY.FSU.EDU,2,0,0,0,0.0,0.0
MAIL.UTORONTO.CA,5,0,0,0,0.0,0.0
HAVERFORD.EDU,2,0,0,0,0.0,0.0
PUCV.CL,2,0,0,0,0.0,0.0
ILLINOIS.EDU,8,0,0,0,0.0,0.0
PC6125.princeton.edu,1,0,0,0,0.0,0.0
onthe.Princeton.EDU,2,0,0,0,0.0,0.0
EISCPAN200L.PRINCETON.EDU,2,0,0,0,0.0,0.0
DEV-390R90VCYKE.princeton.edu,1,0,0,0,0.0,0.0
loghost.Princeton.EDU,1,0,0,0,0.0,0.0
sis100l.Princeton.EDU,2,0,0,0,0.0,0.0
nassau.Princeton.EDU,1,0,0,0,0.0,0.0
PCO-R90KZEUG.princeton.edu,1,0,0,0,0.0,0.0
mta-XXZX.cluster3.blackbaud.net,8,0,154,13174,154.0,13174.0
mta-QSSE.cluster2.blackbaud.net,4,0,34,2922,34.0,2922.0
LAW.FORDHAM.EDU,4,0,0,0,0.0,0.0
tsm10.Princeton.EDU,3,0,0,0,0.0,0.0
mta-RFXT.cluster2.blackbaud.net,4,0,30,2523,30.0,2523.0
LHR-efz.ms-acdc.office.com,3,0,50,6951,50.0,6951.0
mta-ZXXX.cluster3.blackbaud.net,5,0,38,3267,38.0,3267.0
DEV-390R90VCYKT.princeton.edu,1,0,0,0,0.0,0.0
sis101l.Princeton.EDU,2,0,0,0,0.0,0.0
VCCS.EDU,6,0,0,0,0.0,0.0
UTA.EDU,7,0,0,0,0.0,0.0
STERN.NYU.EDU,2,0,0,0,0.0,0.0
HVRSD.ORG,2,0,0,0,0.0,0.0
Zeit-Stiftung.de,2,0,0,0,0.0,0.0
FP4America.org,4,0,0,0,0.0,0.0
oaamx201l.Princeton.EDU,21,0,0,0,0.0,0.0
ats203l.Princeton.EDU,2,0,0,0,0.0,0.0
USAT19PA21.eemsg.mail.mil,2,0,0,0,0.0,0.0
ROANOKE.EDU,7,0,0,0,0.0,0.0
ONTARIOTECHU.CA,2,0,0,0,0.0,0.0
220-135-200-211.HINET-IP.hinet.net,2,0,0,0,0.0,0.0
tsm8.Princeton.EDU,7,0,0,0,0.0,0.0
new-heymon.Princeton.EDU,23,0,0,0,0.0,0.0
DMS-QLIN17.princeton.edu,1,0,0,0,0.0,0.0
SupportAPI.lenovo.com,1,0,11,920,11.0,920.0
smtp4.InfamouslyDC.com,2,0,6,450,6.0,450.0
LIVE.COM,15,0,0,0,0.0,0.0
OUTLOOK.COM,34,0,0,0,0.0,0.0
ODS-7KHZ3H2.princeton.edu,1,0,0,0,0.0,0.0
MOWscheduler.com,2,0,0,0,0.0,0.0
ELSC.HUJI.AC.IL,6,0,0,0,0.0,0.0
ABLOG.ORG,6,0,0,0,0.0,0.0
Email.CrossFire.RealPage.com,2,0,0,0,0.0,0.0
RealPage.com,2,0,0,0,0.0,0.0
SASIW351L.Princeton.EDU,2,0,0,0,0.0,0.0
PSY-17F5973H2.princeton.edu,1,0,0,0,0.0,0.0
TritonHRNews.com,6,0,0,0,0.0,0.0
mta-35X3.cluster3.blackbaud.net,5,0,121,10681,121.0,10681.0
GBM-1BB06Y2.princeton.edu,1,0,0,0,0.0,0.0
EGN-HKGMZW2.princeton.edu,1,0,0,0,0.0,0.0
USS-TRAINING-3.princeton.edu,1,0,0,0,0.0,0.0
LISTSERV.MIAMIOH.EDU,7,0,0,0,0.0,0.0
UDEL.EDU,22,0,0,0,0.0,0.0
TRE-6X574H2.princeton.edu,1,0,0,0,0.0,0.0
LISTS.SEJ.ORG,12,0,0,0,0.0,0.0
Fac-Willow2.princeton.edu,2,0,0,0,0.0,0.0
Mithun.com,9,0,0,0,0.0,0.0
UFLIB.UFL.EDU,6,0,0,0,0.0,0.0
FRANKANDEUNICE.COM,1,0,0,0,0.0,0.0
MIGUELGUTIERREZ.ORG,2,0,0,0,0.0,0.0
MAC.COM,7,0,0,0,0.0,0.0
VERIZON.NET,9,0,0,0,0.0,0.0
HOTMAIL.COM,73,0,0,0,0.0,0.0
