IP Address,Num Domains,Domains
140.180.221.49,1,['aisgold7301w.Princeton.EDU']
140.180.221.24,1,['andvlab200l.Princeton.EDU']
140.180.220.147,1,['aisgold6web100w.Princeton.EDU']
140.180.220.105,1,['cisdr202l.Princeton.EDU']
172.19.0.120,1,['eissql203w-netmgt.Princeton.EDU']
140.180.221.124,1,['fac-geoprod.Princeton.EDU']
140.180.221.71,1,['prz205w.Princeton.EDU']
172.19.0.210,1,['essesx215v-netmgt.Princeton.EDU']
52.96.15.178,1,['MNZ-efz.ms-acdc.office.com']
128.112.131.71,1,['csgsawmill200l.Princeton.EDU']
172.19.0.155,1,['roxdb01qa-netmgt.Princeton.EDU']
140.180.220.50,1,['vpft101w.Princeton.EDU']
128.112.222.29,1,['TSTLDAP.princeton.edu']
128.112.219.86,1,['IBLSERVER.princeton.edu']
3.220.168.44,1,['fedqa.Princeton.EDU']
128.112.102.65,1,['psiturk-lositsk.Princeton.EDU']
128.112.38.75,1,['MAE-SERVER.princeton.edu']
40.97.190.18,1,['MNZ-efz.ms-acdc.office.com']
52.96.88.98,1,['MNZ-efz.ms-acdc.office.com']
17.253.144.10,1,['iCloud.com']
52.96.62.226,1,['MNZ-efz.ms-acdc.office.com']
10.6.50.178,1,['eissql2b.Princeton.EDU']
140.180.220.34,1,['arc-hestia.Princeton.EDU']
52.96.32.178,1,['MNZ-efz.ms-acdc.office.com']
52.96.88.34,1,['MNZ-efz.ms-acdc.office.com']
10.252.81.73,1,['ap-0127-0052.Princeton.EDU']
128.230.171.72,1,['LISTSERV.SYR.EDU']
50.87.238.35,1,['LALAWLIBRARY.ORG']
172.18.32.60,1,['cy48-0598.Princeton.EDU']
216.235.195.34,1,['mta-ROOF.cluster2.blackbaud.net']
128.112.217.78,1,['puppet.pni.Princeton.EDU']
54.148.29.226,1,['DuckDNSAppELB-570522007.us-west-2.elb.amazonaws.com']
140.180.222.58,1,['smtp.Princeton.EDU']
52.96.64.130,1,['MNZ-efz.ms-acdc.office.com']
172.18.3.211,1,['cy48-1705.Princeton.EDU']
220.133.97.20,1,['220-133-97-20.HINET-IP.hinet.net']
52.96.87.210,1,['MNZ-efz.ms-acdc.office.com']
10.6.52.184,1,['sis223l.Princeton.EDU']
128.112.128.113,2,"['TSM8.PRINCETON.EDU', 'eistsm208l.Princeton.EDU']"
128.112.140.25,1,['LIB-STAFFMUS003.princeton.edu']
128.112.150.208,1,['WESTOFF.princeton.edu']
140.180.223.157,2,"['csgsmtp100l.Princeton.EDU', 'csgsmtp100l.Princeton.edu']"
10.6.48.10,1,['WIN04.win.princeton.edu']
52.96.88.50,1,['MNZ-efz.ms-acdc.office.com']
10.6.49.143,1,['aisob101w.Princeton.EDU']
140.180.220.69,1,['asoar201l.Princeton.EDU']
140.180.220.126,1,['dev-webqa-ogv.Princeton.EDU']
10.6.50.23,1,['eissql3a.Princeton.EDU']
172.19.0.88,1,['eistsm210l-netmgt.Princeton.EDU']
52.96.58.98,1,['MNZ-efz.ms-acdc.office.com']
140.180.220.240,1,['aissimfony7202w.Princeton.EDU']
140.180.220.190,1,['as202l.Princeton.EDU']
140.180.220.55,1,['ath202w.Princeton.EDU']
140.180.221.42,1,['cla200l.Princeton.EDU']
140.180.220.111,1,['csla100w.Princeton.EDU']
10.6.63.113,1,['ldap06.Princeton.edu']
128.112.129.188,1,['nismaster4-dev.Princeton.EDU']
140.180.221.40,1,['aisgold6web200w.Princeton.EDU']
172.18.0.152,1,['heymon-infranet1.Princeton.EDU']
140.180.221.91,1,['aisfsa201w.Princeton.EDU']
128.112.128.11,1,['aruba-cppm-01.Princeton.EDU']
172.19.70.62,1,['Lockhart.princeton.edu']
128.112.130.95,1,['eis-fwmgr.Princeton.EDU']
128.112.18.16,2,"['math.Princeton.EDU', 'MATH.PRINCETON.EDU']"
10.6.57.21,1,['iammimweb300w.Princeton.EDU']
128.112.130.115,1,['ais210l.Princeton.EDU']
140.180.220.26,1,['netvclock200l.Princeton.EDU']
172.19.0.110,1,['pdom06-netmgt.Princeton.EDU']
140.180.221.73,1,['fac114w.Princeton.EDU']
52.96.32.2,1,['MNZ-efz.ms-acdc.office.com']
10.6.61.12,1,['sdp101w.Princeton.EDU']
10.6.57.22,1,['sdpprox301l.Princeton.EDU']
128.112.26.63,1,['phtess1.astro.Princeton.EDU']
140.180.220.159,1,['ss225w.Princeton.EDU']
77.88.21.37,1,['mail.YANDEX.ru']
216.235.195.196,1,['mta-ZXXX.cluster3.blackbaud.net']
52.96.88.66,1,['MNZ-efz.ms-acdc.office.com']
3.90.195.49,1,['Delta-ELB-1549258696.us-east-1.elb.amazonaws.com']
172.18.4.153,1,['cy48-1296.Princeton.EDU']
172.19.70.83,2,"['Files.princeton.edu', 'files.PRINCETON.EDU']"
172.19.70.84,3,"['Files.princeton.edu', 'Smbserve.princeton.edu', 'homeserver2.Princeton.EDU']"
172.19.70.82,2,"['Files.princeton.edu', 'homeserver2.Princeton.EDU']"
140.147.55.47,1,['LISTSERV.LOC.GOV']
128.112.102.100,1,['phyindico.Princeton.EDU']
172.18.32.20,1,['cy48-0599.Princeton.EDU']
140.180.223.18,1,['csghubprod.Princeton.EDU']
140.180.220.151,1,['csi200w.Princeton.EDU']
10.21.1.96,1,['iamcas102l.aws.Princeton.EDU']
128.112.133.222,1,['esm.Princeton.EDU']
172.19.0.19,1,['wasspdb201w-netmgt.Princeton.EDU']
10.6.55.62,1,['wasspowa207w.Princeton.EDU']
140.180.221.54,1,['aisgold7200w.Princeton.EDU']
128.112.131.12,1,['ims302.Princeton.EDU']
128.112.133.136,1,['airwave-dormnet.Princeton.EDU']
172.19.1.14,1,['essesx292v-netmgt.Princeton.EDU']
172.19.0.56,1,['essesx241v-netmgt.Princeton.EDU']
140.180.220.131,1,['fac203w-gisprod.Princeton.EDU']
140.180.221.1,1,['pcs300l.Princeton.EDU']
140.180.220.47,1,['dasweb228w.Princeton.EDU']
155.109.171.100,1,['FPL.com']
128.112.134.58,1,['ele200l.Princeton.EDU']
128.112.128.69,1,['airwave6.Princeton.EDU']
172.19.0.171,1,['sentinel-netmgt.Princeton.EDU']
172.18.0.99,1,['cy48-0709.Princeton.EDU']
128.112.185.246,1,['OCP-8CSWKH2.princeton.edu']
172.19.0.86,1,['eissql207w-netmgt.Princeton.EDU']
10.6.57.50,1,['iammimweb200w.Princeton.EDU']
140.180.220.88,1,['iamweb200w.Princeton.EDU']
140.180.220.177,1,['oaapcvm203l.Princeton.EDU']
10.6.49.153,1,['aissimfony7203w.Princeton.EDU']
140.180.220.150,1,['ssvr208w.Princeton.EDU']
10.6.54.24,1,['iamshib204w.Princeton.EDU']
140.180.220.113,1,['devdesk.Princeton.EDU']
128.112.128.112,1,['eistsm207l.Princeton.EDU']
172.18.65.176,1,['new-heymon-infranet3.Princeton.EDU']
140.180.220.89,1,['fac214w-centric.Princeton.EDU']
10.6.56.48,1,['iamprox103l.Princeton.EDU']
10.6.55.52,1,['wasspfe204w.Princeton.EDU']
140.180.221.68,1,['tre201w.Princeton.EDU']
10.6.62.29,1,['cisdrswh201l.Princeton.EDU']
128.112.128.20,1,['receiver03.Princeton.EDU']
128.112.130.194,1,['cses01.Princeton.EDU']
10.6.61.28,1,['eisess200l.Princeton.EDU']
128.112.129.172,1,['essosd202w.Princeton.EDU']
140.180.220.40,1,['odoc200l.Princeton.EDU']
140.180.221.87,1,['uss310l.Princeton.EDU']
128.112.128.63,1,['airwave-failover.Princeton.EDU']
172.19.0.11,1,['dev203w-netmgt.Princeton.EDU']
172.19.0.89,1,['eissql100w-netmgt.Princeton.EDU']
172.18.3.179,1,['raritan-newsouth-machineroom-oob.Princeton.EDU']
128.112.130.63,1,['raas03.Princeton.EDU']
204.153.48.9,1,['border-87-router.Princeton.EDU']
18.216.105.254,1,['ALBANY.EDU']
192.168.4.245,1,['eisnet200l.Princeton.EDU']
10.21.28.185,1,['epm303l.aws.Princeton.EDU']
172.19.1.101,1,['essesx211v-netmgt.Princeton.EDU']
10.6.63.66,1,['uhs212w.Princeton.EDU']
140.180.221.106,1,['gso301w.Princeton.EDU']
10.252.81.78,1,['ap-0127-0053.Princeton.EDU']
172.18.2.11,1,['netbmfctrl1.Princeton.EDU']
140.180.220.85,1,['ces201w-ts.Princeton.EDU']
172.18.2.54,1,['cy48-0934.Princeton.EDU']
35.171.57.87,1,['DioceseofTrenton.org']
140.180.220.62,1,['fac313w.Princeton.EDU']
10.252.14.125,1,['rtr-agg-0617.Princeton.EDU']
140.180.220.149,1,['psy200w.Princeton.EDU']
172.19.0.34,1,['prz203w-netmgt.Princeton.EDU']
10.6.63.108,1,['dumper05.Princeton.EDU']
128.112.134.12,1,['mrtg.net.Princeton.EDU']
172.18.224.11,1,['new-heymon-infranet7.Princeton.EDU']
172.19.0.146,1,['roxdb01-netmgt.Princeton.EDU']
140.180.220.43,1,['pol202w.Princeton.EDU']
68.144.61.70,1,['S010638d547890af0.cg.shawcable.net']
140.180.220.125,1,['dev-webprod-tt.Princeton.EDU']
140.180.220.167,1,['geo-had-server.Princeton.EDU']
128.112.129.176,1,['kirby.Princeton.EDU']
10.6.57.37,1,['aisob311w.Princeton.EDU']
169.53.70.149,1,['MAIL.CAREERMD.COM']
3.18.93.174,1,['CareerMD.com']
192.0.79.33,1,['YRCFreight.com']
172.18.1.222,1,['cy48-2221.Princeton.EDU']
172.19.70.45,1,['Lowrie.princeton.edu']
52.96.88.82,1,['MNZ-efz.ms-acdc.office.com']
10.6.32.22,1,['isotx200l.Princeton.EDU']
140.180.221.31,1,['art200l.Princeton.EDU']
140.180.221.121,1,['dng205w.Princeton.EDU']
140.180.221.0,1,['sasspdc316w.Princeton.EDU']
162.255.118.194,1,['Clark4Clerk.com']
140.180.220.169,1,['pni-had-server.Princeton.EDU']
172.19.0.18,1,['das210w-netmgt.Princeton.EDU']
140.180.221.51,1,['aisgold7100w.Princeton.EDU']
52.96.87.226,1,['MNZ-efz.ms-acdc.office.com']
128.112.133.202,1,['csglists200l.Princeton.EDU']
172.18.32.68,1,['cy48-0601.Princeton.EDU']
140.180.221.50,1,['aisgold7302w.Princeton.EDU']
140.180.220.208,1,['das300w.Princeton.edu']
128.112.128.116,1,['eistsm211l.Princeton.EDU']
10.252.14.65,1,['swrtr-0598.Princeton.EDU']
52.96.38.82,1,['MNZ-efz.ms-acdc.office.com']
10.21.31.1,1,['epm301w.aws.Princeton.EDU']
52.96.35.178,1,['MNZ-efz.ms-acdc.office.com']
204.152.164.50,1,['ConsumerCellular.com']
172.18.1.76,1,['cy48-1643.Princeton.EDU']
10.6.49.146,1,['csgtools300l.Princeton.EDU']
140.180.220.60,1,['aissimfony7102w.Princeton.EDU']
128.112.128.14,1,['aruba-cppm-02.Princeton.EDU']
172.19.0.231,1,['essesx290v-netmgt.Princeton.EDU']
128.112.112.192,2,"['MOL-1Y3KZL1.pu.win.princeton.edu', 'MOL-1Y3KZL1.princeton.edu']"
140.180.220.184,1,['aishmsres121w.Princeton.EDU']
140.180.221.98,1,['cisdr205w.Princeton.EDU']
140.180.220.25,1,['mccweb200w.Princeton.EDU']
140.180.220.235,1,['mol103l.Princeton.EDU']
172.18.64.152,1,['heymon-infranet3.Princeton.EDU']
216.235.195.145,1,['mta-SWXS.cluster3.blackbaud.net']
199.34.228.43,1,['FromPrisonCellsToPhd.org']
192.0.78.229,1,['Advokatservices.com']
40.97.190.2,1,['MNZ-efz.ms-acdc.office.com']
10.252.81.42,1,['ap-0127-0054.Princeton.EDU']
148.173.91.83,1,['extmta1-IPC.aexp.com']
52.96.70.242,1,['MNZ-efz.ms-acdc.office.com']
52.96.15.2,1,['MNZ-efz.ms-acdc.office.com']
155.33.17.68,1,['Northeastern.edu']
172.18.3.127,1,['cy48-0774.Princeton.EDU']
128.112.130.57,1,['ais208l.Princeton.EDU']
128.112.129.193,1,['eisprtmgt201w.Princeton.EDU']
172.19.0.185,1,['essesx214v-netmgt.Princeton.EDU']
140.180.220.48,1,['eisess205l.Princeton.EDU']
172.18.32.70,1,['cy48-0602.Princeton.EDU']
128.112.201.102,1,['libserv39.Princeton.EDU']
10.6.48.186,1,['ss217w.Princeton.EDU']
140.180.220.70,1,['ats-dia212w.Princeton.EDU']
10.6.50.159,1,['eissql2a.Princeton.EDU']
128.112.132.123,1,['pol100l.Princeton.EDU']
128.112.200.63,1,['lib-lockss.Princeton.EDU']
172.18.4.90,1,['cy48-0439.Princeton.EDU']
128.112.8.156,1,['DPS-SUPPORT.princeton.edu']
10.21.1.179,1,['iamshib103w.aws.Princeton.EDU']
140.180.221.48,1,['aisgold7300w.Princeton.EDU']
140.180.226.102,1,['backupvpn2.Princeton.EDU']
140.180.221.94,1,['iamlds300w.Princeton.EDU']
140.180.220.199,1,['www-dept-edit.Princeton.EDU']
140.180.220.205,1,['das101w.Princeton.EDU']
10.6.47.19,1,['epm202l.Princeton.EDU']
140.180.221.19,1,['ss209l.Princeton.EDU']
140.180.221.35,1,['sasiw230w.Princeton.EDU']
140.180.220.108,1,['dsl200w.Princeton.EDU']
128.112.134.81,1,['csglists300l.Princeton.EDU']
172.19.0.91,1,['iamencoder206w-netmgt.Princeton.EDU']
128.112.134.246,1,['siem-ace.Princeton.EDU']
172.19.0.24,1,['wasspdb200w-netmgt.Princeton.EDU']
128.112.134.226,1,['receiver01.Princeton.EDU']
140.180.220.82,1,['waspprod03l.Princeton.EDU']
140.180.221.39,1,['fac212w.Princeton.EDU']
128.112.130.96,1,['ais209l.Princeton.EDU']
140.180.221.108,1,['gso201w.Princeton.EDU']
140.180.220.191,1,['andlchaos300l.Princeton.EDU']
140.180.221.116,2,"['ssepo224w.Princeton.EDU', 'SSEPO224W.princeton.edu']"
172.19.0.47,1,['eissql204w-netmgt.Princeton.EDU']
128.112.134.248,1,['prescott.Princeton.EDU']
140.180.220.174,1,['wasspdc205w.Princeton.EDU']
140.180.220.110,1,['dasdia212w.Princeton.EDU']
140.180.220.81,1,['fin203w.Princeton.EDU']
140.180.221.59,1,['amu203l.Princeton.EDU']
172.19.0.176,1,['hoover1-netmgt.Princeton.EDU']
172.19.0.68,1,['fac-infoctr1-netmgt.Princeton.EDU']
10.6.47.18,1,['sas202l.Princeton.EDU']
140.180.221.25,1,['ims314.Princeton.EDU']
10.6.56.41,1,['iamprox102l.Princeton.EDU']
172.18.4.248,1,['cx48-0092.Princeton.EDU']
52.96.19.82,1,['MNZ-efz.ms-acdc.office.com']
52.96.87.242,1,['MNZ-efz.ms-acdc.office.com']
23.20.239.12,1,['HDRedirect-LB5-1afb6e2973825a56.elb.us-east-1.amazonaws.com']
216.253.66.24,1,['mail.HoneyBaked.com']
128.112.129.243,1,['siem-elm.Princeton.EDU']
140.180.220.90,1,['css228w.Princeton.EDU']
172.18.224.10,1,['eyeinthesky-infranet7.Princeton.EDU']
172.18.194.98,1,['raritan-hpcrc.Princeton.EDU']
140.180.220.120,1,['lar-watchdog2.Princeton.EDU']
192.235.101.50,1,['HoneyBaked.com']
140.180.220.155,1,['netmon200l.Princeton.EDU']
10.6.49.128,1,['AIS316W.princeton.edu']
140.180.220.102,1,['oaamx201l.Princeton.EDU']
172.20.50.11,1,['fac-rds-202w.Princeton.EDU']
10.6.51.115,1,['fac-rds-202w.Princeton.EDU']
172.20.92.38,1,['ptr200w.Princeton.EDU']
10.6.51.104,1,['ptr200w.Princeton.EDU']
205.186.187.123,1,['AmericanLibertyOutreach.com']
10.6.50.1,1,['lrdc201w.Princeton.EDU']
10.6.48.138,1,['lrdc201w.Princeton.EDU']
10.6.49.100,1,['lrdc202w.Princeton.EDU']
10.6.48.206,1,['lrdc202w.Princeton.EDU']
10.6.48.210,1,['lrdc206w.Princeton.EDU']
10.6.48.207,1,['lrdc203w.Princeton.EDU']
10.6.48.211,1,['lrdc203w.Princeton.EDU']
10.6.48.209,1,['lrdc205w.Princeton.EDU']
10.21.1.208,1,['pdom09.aws.Princeton.EDU']
10.21.1.86,2,"['pdom10.aws.Princeton.EDU', 'PU.WIN.PRINCETON.EDU']"
3.220.168.135,1,['fedqa.Princeton.EDU']
172.18.32.24,1,['cy48-0603.Princeton.EDU']
10.6.49.149,1,['lrdc206w.Princeton.EDU']
184.178.198.25,1,['SwissAmerica.com']
10.252.81.34,1,['ap-0127-0055.Princeton.EDU']
10.6.48.208,1,['lrdc204w.Princeton.EDU']
10.6.48.243,1,['lrdc204w.Princeton.EDU']
10.6.49.84,1,['lrdc205w.Princeton.EDU']
23.24.90.197,1,['Ambilt.com']
172.18.32.10,1,['eyeinthesky-infranet2.Princeton.EDU']
52.96.44.162,1,['MNZ-efz.ms-acdc.office.com']
140.180.221.30,1,['waseqa03l.Princeton.EDU']
10.6.60.214,1,['cisdrex101w.Princeton.EDU']
140.180.220.251,1,['das210w.Princeton.EDU']
140.180.220.57,1,['uss201w.Princeton.EDU']
140.180.221.118,1,['isoproxy200w.Princeton.EDU']
172.18.3.30,1,['raritan-87pr-network-lab.Princeton.EDU']
140.180.223.46,1,['exchangeimap.Princeton.EDU']
128.112.129.122,1,['ims204.Princeton.edu']
140.180.221.88,1,['eisnet202l.Princeton.EDU']
140.180.220.94,1,['gso300w.Princeton.EDU']
140.180.220.72,1,['ss215w.Princeton.EDU']
184.168.131.241,1,['myCheapOair.com']
128.112.173.205,1,['LIB-GIS029.princeton.edu']
128.112.121.245,1,['GEN-MAX.princeton.edu']
198.101.174.172,1,['TFC.com']
104.40.48.29,1,['Honeywell.com']
128.112.121.90,1,['CHM-BRZVOQ2.princeton.edu']
128.112.122.64,1,['CHM-N2.princeton.edu']
140.180.220.106,1,['mcgrawect200l.Princeton.EDU']
140.180.220.76,1,['opr302w.Princeton.EDU']
128.112.129.64,1,['aruba-cppm-03.Princeton.EDU']
140.180.220.145,1,['art201w.Princeton.EDU']
10.6.63.79,1,['uhs213w.Princeton.EDU']
140.180.222.55,1,['idp.Princeton.EDU']
140.180.220.29,1,['asoar301l.Princeton.EDU']
140.180.221.105,1,['ath201w.Princeton.EDU']
172.19.0.130,1,['essvmbkp201w-netmgt.Princeton.EDU']
140.180.220.244,1,['mol203l.Princeton.EDU']
172.19.0.108,1,['eissql211w-netmgt.Princeton.EDU']
128.112.120.138,1,['CHM-4HG6DH2.princeton.edu']
140.180.222.61,1,['webservices.Princeton.EDU']
10.6.50.17,1,['eissql1b.Princeton.EDU']
128.112.201.19,1,['lib-lockss2.Princeton.EDU']
140.180.220.182,1,['aishmsres301w.Princeton.EDU']
128.112.129.68,1,['aruba-cppm-04.Princeton.EDU']
172.19.0.82,1,['eistsm207l-netmgt.Princeton.EDU']
172.18.194.97,1,['raritan-87pr-core.Princeton.EDU']
10.21.1.197,1,['iamshib107w.aws.Princeton.EDU']
140.180.220.218,1,['fac215w.Princeton.EDU']
140.180.220.225,1,['spcvmsdb100w.Princeton.EDU']
140.180.220.79,1,['aisfsaprtl200w.Princeton.EDU']
140.180.220.148,1,['aisgold6web300w.Princeton.EDU']
10.6.57.41,1,['aisob110w.Princeton.EDU']
10.6.60.215,1,['cisdrex200w.Princeton.EDU']
128.112.131.58,1,['ims214.Princeton.EDU']
172.18.0.251,1,['cy48-0605.Princeton.EDU']
140.180.221.111,1,['sassunapsis201w.Princeton.EDU']
10.6.47.16,1,['ais224l.Princeton.EDU']
172.18.4.130,1,['cx48-2560.Princeton.EDU']
172.19.0.38,1,['essconsole201w-netmgt.Princeton.EDU']
10.6.55.72,1,['iamethos101w.Princeton.EDU']
128.112.128.215,1,['ppa04.Princeton.EDU']
140.180.220.80,1,['fin103w.Princeton.EDU']
140.180.220.112,2,"['ssepo223w.Princeton.EDU', 'SSEPO223W.princeton.edu']"
10.6.57.23,1,['iammimweb301w.Princeton.EDU']
140.180.220.37,1,['soc-had200w.Princeton.EDU']
140.180.221.27,1,['ussitfile200w.Princeton.EDU']
132.174.0.132,1,['OCLC.ORG']
172.19.0.81,1,['iamencoder205w-netmgt.Princeton.EDU']
172.19.0.74,1,['essesx200v-netmgt.Princeton.EDU']
140.180.220.58,1,['ss224w.Princeton.EDU']
10.6.53.20,1,['ims223.Princeton.EDU']
10.6.51.24,1,['isserv216.Princeton.EDU']
128.112.128.214,1,['ppa03.Princeton.EDU']
10.6.52.101,1,['aissimfony7201w.Princeton.EDU']
128.112.134.137,1,['nisslave12.Princeton.EDU']
172.18.194.96,1,['raritan-87pr-core2.Princeton.EDU']
172.18.83.191,1,['arun-3672.Princeton.EDU']
128.112.217.38,1,['seunglab02.pni.Princeton.EDU']
10.252.81.31,1,['ap-0127-0056.Princeton.EDU']
128.112.203.239,1,['LOCATOR-PROD1.princeton.edu']
10.6.60.216,1,['cisdrex201w.Princeton.EDU']
140.180.220.107,1,['aisparking201w.Princeton.EDU']
140.180.220.206,1,['das110w.Princeton.EDU']
140.180.221.76,1,['dascrl200w.Princeton.EDU']
10.6.47.13,1,['sas102l.Princeton.EDU']
128.112.148.175,1,['OPR-CYGCHH2.princeton.edu']
140.180.220.180,1,['cisdrroxen201l.Princeton.EDU']
140.180.221.102,1,['asbb107l.Princeton.EDU']
140.180.220.253,1,['asbb208l.Princeton.EDU']
140.180.220.157,1,['iamdirsync200w.Princeton.EDU']
172.19.0.75,1,['essesx201v-netmgt.Princeton.EDU']
10.21.1.25,1,['iamshib102w.aws.Princeton.EDU']
140.180.220.237,1,['sasiw350l.Princeton.EDU']
10.6.57.29,1,['sdpohs101l.Princeton.EDU']
10.6.63.109,1,['alumni05.Princeton.EDU']
128.112.149.192,1,['SRC-7L5VCX1.princeton.edu']
10.6.58.25,1,['qaovd.Princeton.EDU']
52.96.69.50,1,['MNZ-efz.ms-acdc.office.com']
209.234.101.104,2,"['CRITICALREACH.ORG', 'CriticalReach.Org']"
128.112.216.241,1,['seunglab01.pni.Princeton.EDU']
140.180.221.84,1,['dng203w.Princeton.EDU']
172.18.128.111,1,['new-heymon-infranet5.Princeton.EDU']
172.29.0.11,1,['IBLSERVER.princeton.edu']
172.18.3.109,1,['cy48-0612.Princeton.EDU']
128.112.185.247,1,['PCO-R901HCB2.pu.win.princeton.edu']
10.254.3.176,1,['mol-cristea-m551.Princeton.EDU']
184.72.125.39,1,['ConnectedCommunity.org']
129.173.31.187,1,['Dal.Ca']
140.180.221.32,1,['cseslicense02.Princeton.EDU']
140.180.220.28,1,['dasdia112w.Princeton.EDU']
10.6.55.78,1,['sasspowa317w.Princeton.EDU']
140.180.221.82,1,['sasemsws100w.Princeton.EDU']
10.21.1.218,1,['iamcas103l.aws.Princeton.EDU']
172.19.0.71,1,['ims204-netmgt.Princeton.EDU']
10.6.48.55,1,['iamweb300l.Princeton.EDU']
10.6.50.136,1,['ims221.Princeton.EDU']
10.6.62.21,1,['cisdrswh300l.Princeton.EDU']
172.19.0.83,1,['eissql206w-netmgt.Princeton.EDU']
10.21.1.89,1,['iamcas202l.aws.Princeton.EDU']
172.18.32.16,1,['new-heymon-infranet2.Princeton.EDU']
140.180.221.78,1,['aisinfoed120w.Princeton.EDU']
172.19.0.175,1,['roxdb02qa-netmgt.Princeton.EDU']
128.112.128.67,1,['airwave5.Princeton.EDU']
140.180.220.249,1,['ats202l.Princeton.EDU']
10.6.63.111,1,['dumper06.Princeton.EDU']
